"xmin","ymin","xmax","ymax"
17.6620395667202,-34.8214179486109,30.2662084875601,-31
15.2407846733071,-31,32.8690767977471,-27
14.4093001810578,-27,47.8020937674131,-23
12.5027395578081,-23,49.1152354531097,-19
11.7163911785499,-19,50.5013912146712,-15
12.1543501607377,-15,50.3383835650751,-11
12.8298785933039,-11,40.6172182054658,-7
10.3246605613556,-7,40.1740815898479,-3
8.70083617574136,-3,43.9138555136829,1
-9.042714750357,1,48.2664313499895,5
-13.2871156852587,5,50.5638828629584,9
-16.8018088480098,9,51.4113182155186,13
-17.5327818486906,13,42.7409529811103,17
-17.1015268482889,17,39.055535482318,21
-17.0831171125903,21,37.3065912023825,25
-14.8473638461896,25,34.9427579830939,29
-10.5593041068318,29,34.9038002001448,33
-8.74387234889396,33,11.9986017515809,37
6.2631079090463,37,11.079824036883,37.340409118595
